LexBibUri	place
http://lexbib.org/events/ConfElex2009	Q665868
http://lexbib.org/events/ConfElex2011	Q202852
http://lexbib.org/events/ConfElex2013	Q1770
http://lexbib.org/events/ConfElex2015	Q1016813
http://lexbib.org/events/ConfElex2017	Q43631
http://lexbib.org/events/ConfElex2019	Q190187
http://lexbib.org/events/ConfEuralex1983	Q134672
http://lexbib.org/events/ConfEuralex1986	Q72
http://lexbib.org/events/ConfEuralex1988	Q1781
http://lexbib.org/events/ConfEuralex1990	Q8851
http://lexbib.org/events/ConfEuralex1992	Q40840
http://lexbib.org/events/ConfEuralex1994	Q727
http://lexbib.org/events/ConfEuralex1996	Q25287
http://lexbib.org/events/ConfEuralex1998	Q3992
http://lexbib.org/events/ConfEuralex2000	Q1022
http://lexbib.org/events/ConfEuralex2002	Q1748
http://lexbib.org/events/ConfEuralex2004	Q71724
http://lexbib.org/events/ConfEuralex2006	Q495
http://lexbib.org/events/ConfEuralex2008	Q1492
http://lexbib.org/events/ConfEuralex2010	Q25390
http://lexbib.org/events/ConfEuralex2012	Q585
http://lexbib.org/events/ConfEuralex2014	Q6526
http://lexbib.org/events/ConfEuralex2016	Q994
http://lexbib.org/events/ConfEuralex2018	Q437
http://lexbib.org/events/ConfEuralex2020	Q190847
http://lexbib.org/events/ConfGlobalex2018	Q204308
http://lexbib.org/events/ConfGlobalex2020	Q23482
http://lexbib.org/events/ConfLdl2018	Q204308
